id,criterion,judgement
N10026X,1.211358752,4.868101783
N10054B,0.079655412,6.922006082
N10094K,0.079655412,5.130515633
N10134A,0.079655412,4.807307601
N10165H,0.079655412,5.858544569
N10192L,1.211358752,4.290974343
N10221Y,0.079655412,5.543519855
N10250D,0.079655412,5.5788289
N10293Q,0.079655412,6.053910597
N10301X,0.079655412,5.673344379
N10330C,-2.183751267,5.995000215
N10372N,1.211358752,5.232178134
N10393T,0.079655412,5.60511417
N10424H,0.079655412,5.53522971
N10454P,0.079655412,7.110498159
N10499C,-2.183751267,6.487218212
N10546S,0.079655412,4.48895458
N10579B,0.079655412,6.837178492
N10614M,0.079655412,6.589489354
N10644T,0.079655412,5.574067757
N10855C,0.079655412,6.271999494
N10884H,0.079655412,4.8081948
N10914W,1.211358752,6.160845515
N10949H,0.079655412,6.740851743
N10959K,0.079655412,4.228944276
N10989R,0.079655412,6.484985407
N11061E,-1.052047927,5.644948858
N11087Q,0.079655412,4.40195679
N11113Z,0.079655412,5.00288774
N11152G,0.079655412,5.633311378
N11174N,0.079655412,3.87763735
N11207E,0.079655412,4.895788107
N11242H,-1.052047927,5.725110104
N11272P,-1.052047927,5.286498532
N11323H,-1.052047927,4.621562318
N11356S,1.211358752,6.814469089
N11385X,0.079655412,4.87819321
N11412H,0.079655412,4.624267133
N11452R,-2.183751267,4.112065423
N11470T,0.079655412,6.966936683
N11495C,-2.183751267,6.376069661
N11533R,0.079655412,5.2516637
N11562W,-1.052047927,6.514263124
N11584C,0.079655412,5.005299246
N11614R,-2.183751267,5.108251545
N11651W,0.079655412,4.471346737
N11746C,2.343062092,7.227524218
N11792J,2.343062092,5.067552393
N11819C,0.079655412,5.780291594
N11848H,-2.183751267,5.602033912
N11874K,0.079655412,6.597523955
N11905Z,0.079655412,6.007599346
N11959P,0.079655412,6.07487674
N11987T,0.079655412,4.32304632
N12012Z,0.079655412,5.771901321
N12045J,0.079655412,4.086129701
N12071L,0.079655412,5.002400471
N12099Y,0.079655412,4.339901377
N12122E,1.211358752,5.18627734
N12175T,0.079655412,4.94588995
N12234M,2.343062092,5.267576547
N12271S,-2.183751267,5.27766968
N12291W,0.079655412,5.01783461
N12338U,-1.052047927,5.76313435
N12369B,0.079655412,5.97852497
N12439Y,1.211358752,5.262203449
N12473A,0.079655412,5.901829885
N12503P,-1.052047927,4.965055657
N12539B,0.079655412,5.602455392
N12562A,2.343062092,6.470888623
N12616X,0.079655412,6.099411742
N12640X,0.079655412,4.359734809
N12672F,0.079655412,6.470031947
N12712W,0.079655412,6.608805527
N12740A,-2.183751267,4.702584077
N12757K,0.079655412,4.736911197
N12788S,0.079655412,5.677189062
N12823C,0.079655412,4.312503014
N12850F,0.079655412,5.252128506
N12879U,0.079655412,7.081542728
N12903B,1.211358752,5.257311851
N12937M,0.079655412,5.995683889
N13008H,0.079655412,5.178622975
N13027L,0.079655412,5.241031237
N13068V,0.079655412,6.596513203
N13123K,0.079655412,6.686862707
N13196C,0.079655412,4.92380452
N13213L,0.079655412,5.887764794
N13254V,0.079655412,6.72198097
N13285C,2.343062092,5.530839425
N13354Y,-2.183751267,5.742651966
N13374C,0.079655412,3.132521416
N13400M,1.211358752,5.834920905
N13422T,0.079655412,5.519110723
N13472D,0.079655412,4.762131255
N13540Y,0.079655412,6.298727678
N13567K,0.079655412,5.90849691
N13605Y,0.079655412,4.403602502
N13638H,0.079655412,5.350296182
N13671J,0.079655412,4.773069443
N13709F,0.079655412,4.82537841
N13734G,1.211358752,6.075827348
N13768S,0.079655412,5.415073686
N13798Y,1.211358752,6.201557458
N13834K,0.079655412,5.203958374
N13869W,1.211358752,3.621348971
N13899C,0.079655412,5.79689225
N13927P,0.079655412,5.88219524
N13955T,0.079655412,5.583626826
N13983X,0.079655412,3.995681525
N14013J,0.079655412,4.577621021
N14084Z,0.079655412,3.968559376
N14116Q,0.079655412,5.003193936
N14147X,1.211358752,5.729024907
N14177D,0.079655412,6.205803232
N14209U,0.079655412,5.057919169
N14329B,2.343062092,6.155279701
N14403U,0.079655412,6.022531769
N14427C,0.079655412,5.594547789
N14454F,0.079655412,4.74142826
N14484M,0.079655412,4.736154938
N14515B,0.079655412,4.730431289
N14582N,1.211358752,5.735478524
N14612B,-1.052047927,4.088427223
N14648P,0.079655412,6.316557749
N14679W,0.079655412,4.852269837
N14712E,0.079655412,5.862418014
N14742L,-1.052047927,6.464898481
N14786Y,0.079655412,6.294496693
N14857W,0.079655412,5.174922148
N14883Y,0.079655412,5.198882194
N14923P,-1.052047927,5.51126749
N14951T,0.079655412,6.543857626
N14976C,0.079655412,6.198777419
N15059C,0.079655412,3.250395098
N15079G,0.079655412,5.696378865
N15108U,0.079655412,5.064912022
N15127X,2.343062092,7.446613584
N15154A,0.079655412,5.788571489
N15207W,0.079655412,3.850931508
N15247E,0.079655412,6.700702091
N15276K,0.079655412,5.290978742
N15304W,0.079655412,6.345185796
N15373K,0.079655412,4.839129511
N15414B,0.079655412,5.287433231
N15444H,-2.183751267,4.926935238
N15516G,0.079655412,3.996902009
N15538N,1.211358752,6.238964468
N15582S,2.343062092,6.507665409
N15650M,1.211358752,5.645909901
N15689C,0.079655412,6.173738859
N15714L,0.079655412,4.733334164
N15741P,0.079655412,5.554773429
N15786C,0.079655412,3.210767926
N15801J,0.079655412,6.247587283
N15825S,1.211358752,5.813990757
N15854X,0.079655412,6.122865832
N15964C,0.079655412,4.965420557
N15993H,1.211358752,6.165314942
N16031U,0.079655412,5.645885906
N16061A,1.211358752,6.737344673
N16130W,0.079655412,4.879853513
N16196Q,0.079655412,5.218835446
N16230Z,0.079655412,5.59371072
N16268P,-1.052047927,7.216728587
N16292P,1.211358752,5.049694241
N16318G,1.211358752,6.57398441
N16358Q,0.079655412,5.057641506
N16377T,0.079655412,5.627829861
N16405E,0.079655412,4.646173289
N16436M,2.343062092,5.764886473
N16468V,-1.052047927,5.958703491
N16509M,0.079655412,5.17610515
N16568Y,2.343062092,6.09326022
N16623N,0.079655412,4.326922743
N16650R,0.079655412,6.523763499
N16680X,-1.052047927,5.980325393
N16748A,-1.052047927,6.125932837
N16788J,0.079655412,4.831903701
N16816V,0.079655412,5.536453101
N16841W,0.079655412,4.832175814
N16873E,-1.052047927,6.146679336
N16904U,0.079655412,4.807889558
N16945D,0.079655412,5.768850686
N16977M,-2.183751267,5.086198193
N17015Y,0.079655412,4.860861966
N17059L,0.079655412,5.626029264
N17086P,-2.183751267,6.217672651
N17116C,0.079655412,4.99235718
N17148L,0.079655412,6.497351841
N17170J,-2.183751267,4.648923848
N17209G,-1.052047927,5.669483741
N17245L,0.079655412,6.059801424
N17263N,1.211358752,6.666911549
N17288X,1.211358752,6.614447861
N17312E,-1.052047927,6.050081633
N17350L,-1.052047927,6.019071041
N17376W,0.079655412,4.919271006
N17413J,2.343062092,6.895653569
N17444R,-1.052047927,6.068947906
N17491Y,1.211358752,4.840100979
N17518S,0.079655412,5.577701208
N17552U,0.079655412,6.799019846
N17578E,0.079655412,5.932467461
N17609U,2.343062092,6.545002102
N17638Z,0.079655412,5.94042085
N17663A,0.079655412,5.401329084
N17700N,0.079655412,4.963663144
N17723V,0.079655412,6.091599092
N17750Y,0.079655412,6.553275492
N17777K,0.079655412,5.211714054
N17809A,0.079655412,4.847454163
N17853E,0.079655412,5.390522968
N17879Q,0.079655412,6.161978116
N17908C,0.079655412,4.641173352
N17932C,1.211358752,5.261569092
N17967P,0.079655412,4.793908137
N17995T,0.079655412,5.781846786
N18031C,0.079655412,7.315432747
N18071L,2.343062092,5.096491154
N18106E,0.079655412,5.285254941
N18150J,0.079655412,5.895604829
N18194W,0.079655412,5.315258347
N18217L,1.211358752,5.832683968
N18245Q,0.079655412,3.816984721
N18275W,1.211358752,6.767035858
N18308N,0.079655412,6.149015798
N18352S,0.079655412,5.249693137
N18384A,0.079655412,5.039157707
N18406P,1.211358752,6.166342528
N18436V,0.079655412,5.101054628
N18468D,1.211358752,4.514414046
N18497J,2.343062092,6.104023186
N18527X,0.079655412,6.046395872
N18562A,0.079655412,5.611588463
N18585H,-2.183751267,3.706603842
N18618Z,0.079655412,5.229146232
N18673G,-2.183751267,5.019400244
N18707Z,0.079655412,5.969057426
