system_prompt,pre_text_prompt,post_text_prompt,name
Return JSON with 'mentions_income' (1 or 0).,Mentions income? ,,mentions_income
Return JSON with 'owns_property' (1 or 0).,"Mentions owning home, car, or land? ",,owns_property
Return JSON with 'occupation_prestige' (1 or 0).,Mentions a prestigious job? ,,occupation_prestige
Return JSON with 'education_attained' (1 or 0).,Mentions education or university? ,,education_attained
Return JSON with 'travels_abroad' (1 or 0).,Mentions international travel? ,,travels_abroad
Return JSON with 'luxury_experiences' (1 or 0).,Mentions luxury or expensive hobbies? ,,luxury_experiences
Return JSON with 'private_schooling' (1 or 0).,Mentions private or elite schools? ,,private_schooling
Return JSON with 'name_dropping' (1 or 0).,"Mentions elite names (schools, jobs, places)? ",,name_dropping
Return JSON with 'financial_security' (1 or 0).,Mentions financial security? ,,financial_security
Return JSON with 'family_support' (1 or 0).,Mentions parental money or help? ,,family_support
Return JSON with 'job_stability' (1 or 0).,Mentions having a steady job? ,,job_stability
Return JSON with 'managerial_role' (1 or 0).,Mentions being a boss or manager? ,,managerial_role
Return JSON with 'self_employed' (1 or 0).,Mentions owning a business? ,,self_employed
Return JSON with 'graduate_school' (1 or 0).,Mentions finishing more school after college? ,,graduate_school
Return JSON with 'car_ownership' (1 or 0).,Mentions owning a car? ,,car_ownership
Return JSON with 'own_home' (1 or 0).,Mentions owning a house or apartment? ,,own_home
Return JSON with 'big_family' (1 or 0).,Mentions having a big family or many kids? ,,big_family
Return JSON with 'travel_usa' (1 or 0).,Mentions traveling across the U.S.? ,,travel_usa
Return JSON with 'travel_abroad' (1 or 0).,Mentions traveling to other countries? ,,travel_abroad
Return JSON with 'has_dog' (1 or 0).,Mentions owning a dog or pet? ,,has_dog
Return JSON with 'nice_clothes' (1 or 0).,Mentions wearing nice or fancy clothes? ,,nice_clothes
Return JSON with 'owns_tv' (1 or 0).,Mentions owning a television? ,,owns_tv
Return JSON with 'nice_furniture' (1 or 0).,Mentions having nice furniture at home? ,,nice_furniture
Return JSON with 'eats_out' (1 or 0).,Mentions going out to restaurants? ,,eats_out
Return JSON with 'vacation' (1 or 0).,Mentions going on vacation? ,,vacation
Return JSON with 'reads_books' (1 or 0).,Mentions reading books for fun? ,,reads_books
Return JSON with 'has_college_degree' (1 or 0).,Mentions finishing college? ,,has_college_degree
Return JSON with 'helping_parents' (1 or 0).,Mentions helping their parents or family? ,,helping_parents
Return JSON with 'saving_money' (1 or 0).,Mentions saving money or being careful with money? ,,saving_money
Return JSON with 'pays_bills' (1 or 0).,Mentions paying bills or rent? ,,pays_bills
Return JSON with 'has_credit_card' (1 or 0).,Mentions using a credit card or charge account? ,,has_credit_card
Return JSON with 'owns_records' (1 or 0).,Mentions owning records or music player? ,,owns_records
Return JSON with 'goes_to_church' (1 or 0).,Mentions going to church regularly? ,,goes_to_church
Return JSON with 'clean_home' (1 or 0).,Mentions having a clean or well-kept home? ,,clean_home
