essay_id,mean,std,min,max,count,range
N10026X,8.234,0.9713466351999608,6.1,10.0,50,3.9000000000000004
N10054B,8.874,0.9034649852605449,6.0,10.0,50,4.0
N10094K,8.318,1.0368102575708258,6.3,10.0,50,3.7
N10134A,8.11,0.9523869047433036,6.3,10.0,50,3.7
N10165H,9.04,0.8951114398754597,6.8,10.0,50,3.2
N10192L,6.624,1.1560947634345622,3.1,9.0,50,5.9
N10221Y,9.306000000000001,0.6535335664286718,7.8,10.0,50,2.2
N10250D,8.616,1.0108311391309304,5.4,10.0,50,4.6
N10293Q,9.258,0.8473463980966387,7.3,10.0,50,2.7
N10301X,7.92,1.1320921574947969,5.5,10.0,50,4.5
N10330C,7.5120000000000005,1.005422035459615,5.1,9.9,50,4.800000000000001
N10372N,7.372000000000001,1.0107665307042157,4.9,9.8,50,4.9
N10393T,8.532,1.107016582660673,5.6,10.0,50,4.4
N10424H,9.554,0.6490841271219261,7.1,10.0,50,2.9000000000000004
N10454P,7.542000000000001,1.0637035800082884,5.5,9.6,50,4.1
N10499C,7.332000000000001,1.0579996527911162,5.4,10.0,50,4.6
N10546S,8.12,0.9758303633107466,6.3,10.0,50,3.7
N10579B,8.68,0.9644708816924711,6.7,10.0,50,3.3
N10614M,7.706,1.0793819092992292,5.3,10.0,50,4.7
N10644T,7.06,1.12049551720729,4.4,9.1,50,4.699999999999999
N10855C,8.53,1.0024968827881708,6.4,10.0,50,3.5999999999999996
N10884H,7.004,1.0171910100961414,3.9,9.3,50,5.4
N10914W,8.316,1.0700677071845428,4.9,10.0,50,5.1
N10949H,7.996,1.2262369847860337,5.3,10.0,50,4.7
N10959K,5.942,1.1330093574554594,3.8,8.8,50,5.000000000000001
N10989R,8.54,1.0165969642661257,5.6,10.0,50,4.4
N11061E,7.934,0.9759579281664863,5.2,9.7,50,4.499999999999999
N11087Q,7.268,1.109778429807187,5.3,9.5,50,4.2
N11113Z,7.1739999999999995,0.9728581917342781,4.8,9.2,50,4.3999999999999995
N11152G,8.296,1.0779723975111415,6.3,10.0,50,3.7
N11174N,7.586,1.1926663662669832,4.4,9.7,50,5.299999999999999
N11207E,6.582000000000001,1.1305931258974338,3.6,9.1,50,5.5
N11242H,8.338,1.009321857607819,6.5,10.0,50,3.5
N11272P,7.636,0.9728477029120358,5.2,9.7,50,4.499999999999999
N11323H,7.608,0.9369599124567821,5.0,9.4,50,4.4
N11356S,8.022,1.1278098696326502,5.4,10.0,50,4.6
N11385X,7.452000000000001,0.9817186096695063,5.3,9.5,50,4.2
N11412H,7.7860000000000005,1.0435438052469996,5.8,9.7,50,3.8999999999999995
N11452R,6.846,1.1954351952834787,4.0,9.7,50,5.699999999999999
N11470T,8.672,1.0388455130576444,5.4,10.0,50,4.6
N11495C,8.162,1.0617448096488753,5.1,10.0,50,4.9
N11533R,8.21,1.036329866324779,5.6,9.9,50,4.300000000000001
N11562W,7.966,1.016719414266758,5.3,10.0,50,4.7
N11584C,6.676,1.1293053671372053,4.2,9.0,50,4.8
N11614R,6.74,1.1446414642291503,3.8,9.0,50,5.2
N11651W,7.472,1.1039890564379222,4.7,9.5,50,4.8
N11746C,8.654,0.9109783930769498,6.1,10.0,50,3.9000000000000004
N11792J,7.596,1.023591117346279,5.8,9.6,50,3.8
N11819C,8.092,0.981843330949807,6.3,10.0,50,3.7
N11848H,8.446,0.952806809550882,6.3,10.0,50,3.7
N11874K,8.234,1.026905396751595,5.8,10.0,50,4.2
N11905Z,8.37,1.0808632226708657,5.6,10.0,50,4.4
N11959P,8.056000000000001,1.0240296551828356,5.8,10.0,50,4.2
N11987T,6.53,0.9904132305997023,4.4,8.7,50,4.299999999999999
N12012Z,8.492,1.0922435252119134,5.4,10.0,50,4.6
N12045J,7.022,0.8249403194245296,5.3,9.0,50,3.7
N12071L,8.607999999999999,0.9913585813088491,6.5,10.0,50,3.5
N12099Y,6.932,1.2090542770686348,4.2,10.0,50,5.8
N12122E,7.938,1.057700625056494,4.7,10.0,50,5.3
N12175T,8.172,1.0513431642330644,6.0,10.0,50,4.0
N12234M,7.806,1.1518237535246758,4.9,10.0,50,5.1
N12271S,7.676,1.1191396112137908,4.8,9.7,50,4.8999999999999995
N12291W,8.594,0.9800895419317979,6.2,10.0,50,3.8
N12338U,6.974,1.218364577988854,3.3,9.8,50,6.500000000000001
N12369B,8.26,1.177856926275645,5.6,10.0,50,4.4
N12439Y,8.832,1.0549088363746058,5.7,10.0,50,4.3
N12473A,8.72,0.998774759597059,6.9,10.0,50,3.0999999999999996
N12503P,6.94,1.2028876820011933,4.9,9.5,50,4.6
N12539B,7.474,1.0115274366531244,5.4,9.8,50,4.4
N12562A,7.682,1.1855748627151472,4.6,10.0,50,5.4
N12616X,9.288,0.8589599786357678,6.8,10.0,50,3.2
N12640X,7.2,1.2077977935913289,4.7,9.9,50,5.2
N12672F,8.344,0.8687687745732288,6.3,10.0,50,3.7
N12712W,8.272,0.8680355489757974,5.9,10.0,50,4.1
N12740A,7.263999999999999,1.301766460762969,4.5,10.0,50,5.5
N12757K,6.968,0.9274586739239299,4.9,9.3,50,4.4
N12788S,7.874,1.0054565416480503,6.2,9.9,50,3.7
N12823C,6.776,1.0365878089743703,4.2,8.8,50,4.6000000000000005
N12850F,7.6,1.0557906409658215,5.0,9.6,50,4.6
N12879U,7.426,1.274524321030383,5.0,10.0,50,5.0
N12903B,6.794,1.2054993037860169,3.9,10.0,50,6.1
N12937M,8.706,0.8881096641238647,6.6,10.0,50,3.4000000000000004
N13008H,7.71,1.0662254614732654,4.8,9.6,50,4.8
N13027L,7.09,1.128526219709329,4.0,9.9,50,5.9
N13068V,9.296,0.8840906777761048,6.9,10.0,50,3.0999999999999996
N13123K,8.554,0.9651498773321611,6.5,10.0,50,3.5
N13196C,7.553999999999999,1.0418214034731164,5.4,9.9,50,4.5
N13213L,7.574,1.0590349862213317,5.1,10.0,50,4.9
N13254V,8.892000000000001,1.0074903149380037,6.7,10.0,50,3.3
N13285C,7.457999999999999,1.0798885052048055,5.0,9.4,50,4.4
N13354Y,7.584,0.9738122016495955,5.2,9.9,50,4.7
N13374C,7.03,0.9986214988468777,4.6,9.1,50,4.5
N13400M,7.696000000000001,1.2858666576377544,4.7,9.8,50,5.1000000000000005
N13422T,6.888,0.8920602157766192,5.1,8.7,50,3.5999999999999996
N13472D,7.3420000000000005,1.024214980622043,3.8,9.9,50,6.1000000000000005
N13540Y,7.808,1.1712264634012626,4.6,10.0,50,5.4
N13567K,8.544,0.9485025792569799,6.3,10.0,50,3.7
N13605Y,7.593999999999999,1.1422158915271416,5.0,10.0,50,5.0
N13638H,9.612,0.5798099618295077,7.6,10.0,50,2.4000000000000004
N13671J,9.592,0.6651192926606383,7.6,10.0,50,2.4000000000000004
N13709F,7.531999999999999,1.2456356462727396,4.8,10.0,50,5.2
N13734G,9.336,0.6817624219623725,7.6,10.0,50,2.4000000000000004
N13768S,7.3260000000000005,0.8627932805127536,5.5,10.0,50,4.5
N13798Y,8.072000000000001,1.0386490440638232,6.0,10.0,50,4.0
N13834K,7.667999999999999,1.0516148903239344,5.7,10.0,50,4.3
N13869W,7.654,1.1272523937360588,5.8,10.0,50,4.2
N13899C,6.812,0.8975340366463966,4.7,8.9,50,4.2
N13927P,7.096,1.1799273585388939,4.8,10.0,50,5.2
N13955T,7.73,0.909866552224634,5.8,9.9,50,4.1000000000000005
N13983X,7.744,1.0934237560086582,5.1,10.0,50,4.9
