essay_id,mean,std,min,max,count,range,id,criterion,judgement
N10026X,8.234,0.9713466351999608,6.1,10.0,50,3.9000000000000004,N10026X,1.211358752,4.868101783
N10054B,8.874,0.9034649852605449,6.0,10.0,50,4.0,N10054B,0.079655412,6.922006082
N10094K,8.318,1.0368102575708258,6.3,10.0,50,3.7,N10094K,0.079655412,5.130515633
N10134A,8.11,0.9523869047433036,6.3,10.0,50,3.7,N10134A,0.079655412,4.807307601
N10165H,9.04,0.8951114398754597,6.8,10.0,50,3.2,N10165H,0.079655412,5.858544569
N10192L,6.624,1.1560947634345622,3.1,9.0,50,5.9,N10192L,1.211358752,4.290974343
N10221Y,9.306000000000001,0.6535335664286718,7.8,10.0,50,2.2,N10221Y,0.079655412,5.543519855
N10250D,8.616,1.0108311391309304,5.4,10.0,50,4.6,N10250D,0.079655412,5.5788289
N10293Q,9.258,0.8473463980966387,7.3,10.0,50,2.7,N10293Q,0.079655412,6.053910597
N10301X,7.92,1.1320921574947969,5.5,10.0,50,4.5,N10301X,0.079655412,5.673344379
N10330C,7.5120000000000005,1.005422035459615,5.1,9.9,50,4.800000000000001,N10330C,-2.183751267,5.995000215
N10372N,7.372000000000001,1.0107665307042157,4.9,9.8,50,4.9,N10372N,1.211358752,5.232178134
N10393T,8.532,1.107016582660673,5.6,10.0,50,4.4,N10393T,0.079655412,5.60511417
N10424H,9.554,0.6490841271219261,7.1,10.0,50,2.9000000000000004,N10424H,0.079655412,5.53522971
N10454P,7.542000000000001,1.0637035800082884,5.5,9.6,50,4.1,N10454P,0.079655412,7.110498159
N10499C,7.332000000000001,1.0579996527911162,5.4,10.0,50,4.6,N10499C,-2.183751267,6.487218212
N10546S,8.12,0.9758303633107466,6.3,10.0,50,3.7,N10546S,0.079655412,4.48895458
N10579B,8.68,0.9644708816924711,6.7,10.0,50,3.3,N10579B,0.079655412,6.837178492
N10614M,7.706,1.0793819092992292,5.3,10.0,50,4.7,N10614M,0.079655412,6.589489354
N10644T,7.06,1.12049551720729,4.4,9.1,50,4.699999999999999,N10644T,0.079655412,5.574067757
N10855C,8.53,1.0024968827881708,6.4,10.0,50,3.5999999999999996,N10855C,0.079655412,6.271999494
N10884H,7.004,1.0171910100961414,3.9,9.3,50,5.4,N10884H,0.079655412,4.8081948
N10914W,8.316,1.0700677071845428,4.9,10.0,50,5.1,N10914W,1.211358752,6.160845515
N10949H,7.996,1.2262369847860337,5.3,10.0,50,4.7,N10949H,0.079655412,6.740851743
N10959K,5.942,1.1330093574554594,3.8,8.8,50,5.000000000000001,N10959K,0.079655412,4.228944276
N10989R,8.54,1.0165969642661257,5.6,10.0,50,4.4,N10989R,0.079655412,6.484985407
N11061E,7.934,0.9759579281664863,5.2,9.7,50,4.499999999999999,N11061E,-1.052047927,5.644948858
N11087Q,7.268,1.109778429807187,5.3,9.5,50,4.2,N11087Q,0.079655412,4.40195679
N11113Z,7.1739999999999995,0.9728581917342781,4.8,9.2,50,4.3999999999999995,N11113Z,0.079655412,5.00288774
N11152G,8.296,1.0779723975111415,6.3,10.0,50,3.7,N11152G,0.079655412,5.633311378
N11174N,7.586,1.1926663662669832,4.4,9.7,50,5.299999999999999,N11174N,0.079655412,3.87763735
N11207E,6.582000000000001,1.1305931258974338,3.6,9.1,50,5.5,N11207E,0.079655412,4.895788107
N11242H,8.338,1.009321857607819,6.5,10.0,50,3.5,N11242H,-1.052047927,5.725110104
N11272P,7.636,0.9728477029120358,5.2,9.7,50,4.499999999999999,N11272P,-1.052047927,5.286498532
N11323H,7.608,0.9369599124567821,5.0,9.4,50,4.4,N11323H,-1.052047927,4.621562318
N11356S,8.022,1.1278098696326502,5.4,10.0,50,4.6,N11356S,1.211358752,6.814469089
N11385X,7.452000000000001,0.9817186096695063,5.3,9.5,50,4.2,N11385X,0.079655412,4.87819321
N11412H,7.7860000000000005,1.0435438052469996,5.8,9.7,50,3.8999999999999995,N11412H,0.079655412,4.624267133
N11452R,6.846,1.1954351952834787,4.0,9.7,50,5.699999999999999,N11452R,-2.183751267,4.112065423
N11470T,8.672,1.0388455130576444,5.4,10.0,50,4.6,N11470T,0.079655412,6.966936683
N11495C,8.162,1.0617448096488753,5.1,10.0,50,4.9,N11495C,-2.183751267,6.376069661
N11533R,8.21,1.036329866324779,5.6,9.9,50,4.300000000000001,N11533R,0.079655412,5.2516637
N11562W,7.966,1.016719414266758,5.3,10.0,50,4.7,N11562W,-1.052047927,6.514263124
N11584C,6.676,1.1293053671372053,4.2,9.0,50,4.8,N11584C,0.079655412,5.005299246
N11614R,6.74,1.1446414642291503,3.8,9.0,50,5.2,N11614R,-2.183751267,5.108251545
N11651W,7.472,1.1039890564379222,4.7,9.5,50,4.8,N11651W,0.079655412,4.471346737
N11746C,8.654,0.9109783930769498,6.1,10.0,50,3.9000000000000004,N11746C,2.343062092,7.227524218
N11792J,7.596,1.023591117346279,5.8,9.6,50,3.8,N11792J,2.343062092,5.067552393
N11819C,8.092,0.981843330949807,6.3,10.0,50,3.7,N11819C,0.079655412,5.780291594
N11848H,8.446,0.952806809550882,6.3,10.0,50,3.7,N11848H,-2.183751267,5.602033912
N11874K,8.234,1.026905396751595,5.8,10.0,50,4.2,N11874K,0.079655412,6.597523955
N11905Z,8.37,1.0808632226708657,5.6,10.0,50,4.4,N11905Z,0.079655412,6.007599346
N11959P,8.056000000000001,1.0240296551828356,5.8,10.0,50,4.2,N11959P,0.079655412,6.07487674
N11987T,6.53,0.9904132305997023,4.4,8.7,50,4.299999999999999,N11987T,0.079655412,4.32304632
N12012Z,8.492,1.0922435252119134,5.4,10.0,50,4.6,N12012Z,0.079655412,5.771901321
N12045J,7.022,0.8249403194245296,5.3,9.0,50,3.7,N12045J,0.079655412,4.086129701
N12071L,8.607999999999999,0.9913585813088491,6.5,10.0,50,3.5,N12071L,0.079655412,5.002400471
N12099Y,6.932,1.2090542770686348,4.2,10.0,50,5.8,N12099Y,0.079655412,4.339901377
N12122E,7.938,1.057700625056494,4.7,10.0,50,5.3,N12122E,1.211358752,5.18627734
N12175T,8.172,1.0513431642330644,6.0,10.0,50,4.0,N12175T,0.079655412,4.94588995
N12234M,7.806,1.1518237535246758,4.9,10.0,50,5.1,N12234M,2.343062092,5.267576547
N12271S,7.676,1.1191396112137908,4.8,9.7,50,4.8999999999999995,N12271S,-2.183751267,5.27766968
N12291W,8.594,0.9800895419317979,6.2,10.0,50,3.8,N12291W,0.079655412,5.01783461
N12338U,6.974,1.218364577988854,3.3,9.8,50,6.500000000000001,N12338U,-1.052047927,5.76313435
N12369B,8.26,1.177856926275645,5.6,10.0,50,4.4,N12369B,0.079655412,5.97852497
N12439Y,8.832,1.0549088363746058,5.7,10.0,50,4.3,N12439Y,1.211358752,5.262203449
N12473A,8.72,0.998774759597059,6.9,10.0,50,3.0999999999999996,N12473A,0.079655412,5.901829885
N12503P,6.94,1.2028876820011933,4.9,9.5,50,4.6,N12503P,-1.052047927,4.965055657
N12539B,7.474,1.0115274366531244,5.4,9.8,50,4.4,N12539B,0.079655412,5.602455392
N12562A,7.682,1.1855748627151472,4.6,10.0,50,5.4,N12562A,2.343062092,6.470888623
N12616X,9.288,0.8589599786357678,6.8,10.0,50,3.2,N12616X,0.079655412,6.099411742
N12640X,7.2,1.2077977935913289,4.7,9.9,50,5.2,N12640X,0.079655412,4.359734809
N12672F,8.344,0.8687687745732288,6.3,10.0,50,3.7,N12672F,0.079655412,6.470031947
N12712W,8.272,0.8680355489757974,5.9,10.0,50,4.1,N12712W,0.079655412,6.608805527
N12740A,7.263999999999999,1.301766460762969,4.5,10.0,50,5.5,N12740A,-2.183751267,4.702584077
N12757K,6.968,0.9274586739239299,4.9,9.3,50,4.4,N12757K,0.079655412,4.736911197
N12788S,7.874,1.0054565416480503,6.2,9.9,50,3.7,N12788S,0.079655412,5.677189062
N12823C,6.776,1.0365878089743703,4.2,8.8,50,4.6000000000000005,N12823C,0.079655412,4.312503014
N12850F,7.6,1.0557906409658215,5.0,9.6,50,4.6,N12850F,0.079655412,5.252128506
N12879U,7.426,1.274524321030383,5.0,10.0,50,5.0,N12879U,0.079655412,7.081542728
N12903B,6.794,1.2054993037860169,3.9,10.0,50,6.1,N12903B,1.211358752,5.257311851
N12937M,8.706,0.8881096641238647,6.6,10.0,50,3.4000000000000004,N12937M,0.079655412,5.995683889
N13008H,7.71,1.0662254614732654,4.8,9.6,50,4.8,N13008H,0.079655412,5.178622975
N13027L,7.09,1.128526219709329,4.0,9.9,50,5.9,N13027L,0.079655412,5.241031237
N13068V,9.296,0.8840906777761048,6.9,10.0,50,3.0999999999999996,N13068V,0.079655412,6.596513203
N13123K,8.554,0.9651498773321611,6.5,10.0,50,3.5,N13123K,0.079655412,6.686862707
N13196C,7.553999999999999,1.0418214034731164,5.4,9.9,50,4.5,N13196C,0.079655412,4.92380452
N13213L,7.574,1.0590349862213317,5.1,10.0,50,4.9,N13213L,0.079655412,5.887764794
