essay_id,prompt_name,rating,raw_response,timestamp
N10001N,human_macarthur_ladder_improved,4,"{""class_rating"": 4}",2025-05-24T16:59:00.919437
N10002P,human_macarthur_ladder_improved,7,"{""class_rating"": 7}",2025-05-24T16:59:00.919450
N10003Q,human_macarthur_ladder_improved,5,"{""class_rating"": 5}",2025-05-24T16:59:00.919453
N10004R,human_macarthur_ladder_improved,3,"{""class_rating"": 3}",2025-05-24T16:59:00.919457
N10006T,human_macarthur_ladder_improved,2,"{""class_rating"": 2}",2025-05-24T16:59:00.919460
N10010P,human_macarthur_ladder_improved,5,"{""class_rating"": 5}",2025-05-24T16:59:00.919463
N10011Q,human_macarthur_ladder_improved,5,"{""class_rating"": 5}",2025-05-24T16:59:00.919466
N10013S,human_macarthur_ladder_improved,5,"{""class_rating"": 5}",2025-05-24T16:59:00.919469
N10014T,human_macarthur_ladder_improved,4,"{""class_rating"": 4}",2025-05-24T16:59:00.919471
N10015U,human_macarthur_ladder_improved,3,"{""class_rating"": 3}",2025-05-24T16:59:00.919474
N10016V,human_macarthur_ladder_improved,3,"{""class_rating"": 3}",2025-05-24T16:59:00.919477
N10018X,human_macarthur_ladder_improved,4,"{""class_rating"": 4}",2025-05-24T16:59:00.919480
N10020R,human_macarthur_ladder_improved,3,"{""class_rating"": 3}",2025-05-24T16:59:00.919482
N10026X,human_macarthur_ladder_improved,3,"{""class_rating"": 3}",2025-05-24T16:59:00.919485
N10027Y,human_macarthur_ladder_improved,5,"{""class_rating"": 5}",2025-05-24T16:59:00.919488
N10031U,human_macarthur_ladder_improved,3,"{""class_rating"": 3}",2025-05-24T16:59:00.919491
N10034X,human_macarthur_ladder_improved,3,"{""class_rating"": 3}",2025-05-24T16:59:00.919494
N10035Y,human_macarthur_ladder_improved,3,"{""class_rating"": 3}",2025-05-24T16:59:00.919496
N10036Z,human_macarthur_ladder_improved,5,"{""class_rating"": 5}",2025-05-24T16:59:00.919499
N10037A,human_macarthur_ladder_improved,7,"{""class_rating"": 7}",2025-05-24T16:59:00.919502
N10039C,human_macarthur_ladder_improved,7,"{""class_rating"": 7}",2025-05-24T16:59:00.919505
N10041W,human_macarthur_ladder_improved,7,"{""class_rating"": 7}",2025-05-24T16:59:00.919508
N10042X,human_macarthur_ladder_improved,8,"{""class_rating"": 8}",2025-05-24T16:59:00.919511
N10049E,human_macarthur_ladder_improved,5,"{""class_rating"": 5}",2025-05-24T16:59:00.919513
N10052Z,human_macarthur_ladder_improved,5,"{""class_rating"": 5}",2025-05-24T16:59:00.919516
N10053A,human_macarthur_ladder_improved,5,"{""class_rating"": 5}",2025-05-24T16:59:00.919519
N10054B,human_macarthur_ladder_improved,7,"{""class_rating"": 7}",2025-05-24T16:59:00.919522
N10056D,human_macarthur_ladder_improved,7,"{""class_rating"": 7}",2025-05-24T16:59:00.919525
N10058F,human_macarthur_ladder_improved,3,"{""class_rating"": 3}",2025-05-24T16:59:00.919528
N10059G,human_macarthur_ladder_improved,2,"{""class_rating"": 2}",2025-05-24T16:59:00.919531
N10060Z,human_macarthur_ladder_improved,4,"{""class_rating"": 4}",2025-05-24T16:59:00.919533
N10063C,human_macarthur_ladder_improved,7,"{""class_rating"": 7}",2025-05-24T16:59:00.919536
N10065E,human_macarthur_ladder_improved,3,"{""class_rating"": 3}",2025-05-24T16:59:00.919539
N10066F,human_macarthur_ladder_improved,4,"{""class_rating"": 4}",2025-05-24T16:59:00.919542
N10068H,human_macarthur_ladder_improved,3,"{""class_rating"": 3}",2025-05-24T16:59:00.919545
N10070B,human_macarthur_ladder_improved,3,"{""class_rating"": 3}",2025-05-24T16:59:00.919547
N10072D,human_macarthur_ladder_improved,4,"{""class_rating"": 4}",2025-05-24T16:59:00.919550
N10075G,human_macarthur_ladder_improved,3,"{""class_rating"": 3}",2025-05-24T16:59:00.919553
N10080D,human_macarthur_ladder_improved,7,"{""class_rating"": 7}",2025-05-24T16:59:00.919556
N10081E,human_macarthur_ladder_improved,3,"{""class_rating"": 3}",2025-05-24T16:59:00.919559
N10082F,human_macarthur_ladder_improved,4,"{""class_rating"": 4}",2025-05-24T16:59:00.919562
N10085J,human_macarthur_ladder_improved,3,"{""class_rating"": 3}",2025-05-24T16:59:00.919564
N10086K,human_macarthur_ladder_improved,7,"{""class_rating"": 7}",2025-05-24T16:59:00.919567
N10087L,human_macarthur_ladder_improved,3,"{""class_rating"": 3}",2025-05-24T16:59:00.919570
N10088M,human_macarthur_ladder_improved,4,"{""class_rating"": 4}",2025-05-24T16:59:00.919573
N10093J,human_macarthur_ladder_improved,7,"{""class_rating"": 7}",2025-05-24T16:59:00.919576
N10094K,human_macarthur_ladder_improved,5,"{""class_rating"": 5}",2025-05-24T16:59:00.919579
N10095L,human_macarthur_ladder_improved,4,"{""class_rating"": 4}",2025-05-24T16:59:00.919582
N10096M,human_macarthur_ladder_improved,3,"{""class_rating"": 3}",2025-05-24T16:59:00.919585
