TID,criterion,judgement,original
N10026X,1.211358752,4.868101783,I am 25 years old and I am looking around for a job I have tried working in a factory making cars but I thing Ill do what my father does hes a traveler and I thing* Ill do what my father does hes a traveler and I thing it is a very good job I have been round* the shops with him once a twice and he has sold quite a few things and you get quite a bit of money and its a lot of fun too I have only just left university and have only a small job working at a shop that sells all sorts of food furniture and toys and of course sweets and drink and every sunday I went on the newspaper round and get paid well but now I am looking for a big job like my father has. I have quite a few pets a horse 2 dogs 2 cats 5 goldfish and that is all. I do not have any children because I am not marride In my spare time I usually go swimming or play football and in the summer I play cricet and g* horse riding. I have got an Austin Mini traveler I live in a house. In the weekends I usually go to a friends farm for a holiday. At the farm their are lots of intresting things there are lots of coars* the best thing is plowing the fields and driving the tractor. Its nice taking the hay and stacking it in the hay loft for the winter. Then we usually go in for a nice lunch. and afterlunch we go and milk the cows and take the milk to the dairy. And then I go home.  
N10054B,0.079655412,6.922006082,"I am now an Athlete. I train every day for eight hours. I do my training at home or at [athletics club]. When I have my free time I drive my car to go to [city] and see the interesting things to be seen. I often go swimming because it is very good excercise I seldom watch the Television because I have no time for it. I am not married. My parents are very proud of me. My sister is 18 years old, she to wants to be an athlete. My brother is 23 years old, but he* wants to stay on and finishis school. When the winter monthes come I train 9 hours per day on the indoor track at [athletics club]. I live in a flat with my sister whoes name it [name]. [name] helps me with the house-keeping and the cooking because she is a better cook than me. When I have time I sometimes sit down and wright a story or read an exciting book. So Occasionally I feel tired but I carry on just the same. My interests are going to the pictures, playing tennis, singing, football swimming and wrighting books. I have a red Jaguar car with automatic steering. I also have a hores whoes name is Candy My sister spends most of her time riding Candy. I keep her at a riding school in the country. When I have plenty of time off I like to visit countrys sutch as Sweeden, Denmark Austraila and America. I think that Sweden is the best country because everywhere is so very clean. The country is so clean because everything is run by electricticy. A few days ago men went up in a space rocket to explore Jupeter but they won't be back for a nother year.  "
N10094K,0.079655412,5.130515633,"I now work as a pilet with B.O.A.C. It is good money and I fly 4 times a week double trips. I have a wife and 3 children of which one is [name] one is [name] and the other is [name]. I got marrid at 22 and my Wife got married at 20 she is now 23. We have been married for 3 years. I live in [town] in a council house just off [name of road] Rd. I do all the spare jobs about the house in the spare time I get off work which is not very much. I have a sports car of which I am still paying for it to be spayed from red to white. This spaying off my car is taking 4 days to do, and it is also talking 13 pounds out of my wages. I have also got a small plane off my own. My Wifes car is a Ford Capri of which realy we share. Actually share both cars between us. My Favourite Intrest is driving fast and my second Favourite is swiming. My three children are quite big for their age [name] is 2 and [name] and [name] are both one (They are twins) Their birthdays are on the May the 4th and [name]s is on January the 24th. The colour of my plane is green and white and it cost me xxxx257 we go out in it every Sunday and Friday. When we go on our holidays we are going to Spain for two weeks. (not in our own plane.)  "
N10134A,0.079655412,4.807307601,"If I was 25 I would have a great big house with a car 3 dogs one cat. I would be a Bus driver or a lorry driver I would live at [town] I would go to Bed at 11 o clock , I would have a garden full of flowers. I would have A green house with all Kinds of flowers and plants. I would go to the libery every monday night at 6 o clock. my house would be painted green and whit with a Big red door I would go to [company] at 7 o clock. every sunday at 12 o clock I would go to church. my hobby would be gardening. I wold wach telly every night such programs as the news the fecher film and foolball. I would come back from the libery at half past 7. for dinner I would have potalo grave and chop. I woul have a mini and a bike for odd things like yousing it to go to work, every saturday, would go to see spurs or west ham I have only Been to one real football mach and that was 0-0 even allow Bothe teams ad disatowed goals it was stoke v west ham at [football ground].I would go for a walk in the park every sunday. and I would have a lie in and read the paper. the papers would Be news of the word the people and daily mirror.  "
N10165H,0.079655412,5.858544569,"I am now 25 and I have got two children a boy and a girl the boy is 8 and the girl is just going on for twelve years old. The boys name is [name] and the girls name is [name]. We have got three horses I have got one horse his name is Jet and is 16.2 h.h and is black, and [name] has a horse of her own whose name is shandey she is 13 h h and is brown with a black mane and tail, and [name]s horses name is tich wich is 11 h h and is also brown with a black mane and tail. We used to have a Gelding 16.2 h h whos name was Major and he was a very dark brown, but we sold him. I am a house wife but earn my living by teaching people to ride it's a sort of riding school. I teach beginers to ride in a ring at the botom of the feild first they go around the ring on a leading rain for three days to get confidence*, and the they walk the horses around the ring for 1 week or a couple of days and then they are tought how to groom a horse and which brushes to use first you use the rubber curry comb then the dandy brush next the body body brush the you use the main and tail comb and to finish of the body with a cloth and rub him down and then you wash his eyes nose and **o** with* a sponge. then they learn to put the saddle and bridle on, and after that they learn to trot for a couple of day and I teach them how to canter out in the gymcana field and they learn to to bending musical hats musical sack E.c.t and then they learn to gallop when they get realy very good I teach them to jump. And my [name] teaches lessons to in the knights when I am bus*y and [name] helps to give lessons to and sometimes I give practise to [name] and [name] and we go to the beach evry Saturday on the horses when it is fine.  "
N10192L,1.211358752,4.290974343,When am 25 I would like to look after little Babys how have no home and have a home of my own and a hasand. go on hoildays to the sea side have a little girl and boy go to hoildays in Spain Dover. Southampt. go dancing with my husand go to the fair with my boy and girl and to see my friend go to London to see all the paces  
N10221Y,0.079655412,5.543519855,"I am now 25 years old. when I left school I went through college and* am now a teacher. I enjoy my job and I have always want to go back on my school life. I have one child and I am marryed My house is in Newcastle it has a very nice garden with lots of flowers and vegtables. I like the the surroundings as well. I like playting for the local hockey team. I like going out at nights at the clubs and cinana. The school I work at is in the east of Newcastle. I like visting the teachers that taught me when I was at school. I live a few streets away from my parents. My Brother is a teacher aswell. the life that I am leading is pleasant and very interesting. I still like the hobby that I was doing at the age of eleven the hobby is stamps. I like doing the garden in my spear time and I like swimming aswell, I still go to the local swimming club. My home has four bedrooms, a bathroom. and toliet, we have a kitchen net, a dinning room, a living room and sitting room. The kitchenet hasa blue tiling sarrondings. The kitchenet has a cooker, a sink unit, a washer and spindryer, refrigerater. and four cupboards. The dinning room has a sideboard a big table and eight chairs. the fire is beside the door we have a bay window to, the living room has a fire a set of fire side chairs and setee. there is china cabenet there aswell. The Siting room has a fire a set of fireside chairs a setee a small coffe table and a set of tables for to do jigsaws on it has a desk in with paper and a typwriter. Upstairs the first bedroom has a bed in a wadrobe a dressing table and a table to write on the other bedroom is a play room with two toy cuboards in a dolls house and a table for the clothes. the next bedroom is ours it has a double bed a tabl and a dressing table two wadrobes and a chair. the other bedroom has a bed a cupboard a dressing table a wadrobe and a chair. the bathrom has a bath a wash basin and a cupboard. In each room and staircase has fited carpets expect the bathroom the toliet and kitchenet wich have floor tiles on.  "
N10250D,0.079655412,5.5788289,When I am 25 years old I hope to be a hairdresser. I hope to be still living in [town] and get my Job there. I hope to have two children one girl and one boy I will call them [name] and [name]. I hope to have a husband who his a manager of a shop and earns a lot of money. I shall dress the children the best I can. I hope to be able to drive a car and have one of my own. I hope it will be a morris elevan hundred and the colour of it will be lime. I hope to have a pet dog and I will call it rover. I will ask my husband to build a kennal Just the right Size. If my husband won't I will my self. If I don't like my Job I think I will be an air hostess but I would like being a hair dresser best. I will have a shop of my own and I will be the boss and if my Asistants don't work properly I shall sack them and put a notice in the window for somebody else. I shall charge reasonable price and I will give my asistances a reasonable wage. My day off will be Friday and on Friday my day off I shall do my house work and my shopping. I shall call the shop [NAME]S of [town]. I will not have the shop open on a Sunday. It will be a big place with hairdryers wash basins towels shampoo hair locker and all other things that you will need I shall start work at nine o'clock and finish at five oclock. I shall live above the shop. I shall wait untill my children have started school then I will start my Job I hope my Job goes well and I cannot wait until I am 25 years old.  
N10293Q,0.079655412,6.053910597,"I am a shopkeeper it is my own shop I go every day and I have 1 child. It is a girl she is 1 year old. They call her [female name]. We have a big house in Manchester. It cost us xxxx120 My husband is called [male name]. He is a postman he goes at 4am in the morning till 6pm at night. We have a god and it is a Yorkshire terrier. It is 6 months old. I do my shopping on a Friday. [female name] is very cheeky she walks and talks. We have a fur carpet on the floor. We have a three piece suit. In my spear time I go down to the public libary and get some books. In the night we go round and visit friends. But sometimes I knit jumpers and cardigans. This year we are going for a holiday to Paris. We are staying two weeks. Last year we went to Spain. It is very hot there. We stayed in a hotel called Mikal we had a room and you could see a beautiful view. We take the dog to some kennels near us. They are very kind to it. They call the dog Sheba. We go out once a night to a club near us. My hobby is skating I go on a Wednesday to the skating rink. I get a lot of customers in my shop. It is not very big I sell things very cheep. Sheba is very playful, she does not bite anybody. The bedrooms are not very big but they are warm. There is a little room what [female name] sleeps in. We have a study room in the house but we hardly use it. I go to the College every week, but only once a night. My friend looks after [female name]. [male name] in his spare time has a game of football. I bake pastries for when he comes home. We have a very posh fireplace I am studying English Mathematics and History. Manchest is a friendly place. On a Saturday we take [female name] to Belle Vue Park Zoo. It is a very big house ours At Belle Vue there is an Elephant what you can ride on, but it is 1/6 to on it. There are tigers, lions, Zebraz, and some cute baby wallybys. We have a colour television. It is worth the money. My mother comes every Sunday for tea.  "
N10301X,0.079655412,5.673344379,"I am just over twenty five years of age and am a needlework teacher at [school name] Secondary School. I work hard teaching all the girls who attend that school how to make dresses, how to bake, cook, english and foriegn dishes and many other small jobs they will have to do as a housewife.I enjoy dox teaching these things. I have been teaching at this school a year. It is the first school I have taught at, as I have been to college and university since I left school.To become a needlework teacher I had to take many examinations, like the G.C.E. I was quite nervous when I sat my first exam, but passed them with ease and was very thankful when they were all over. I am not yet married but I have a boyfriend, and we are hoping to get married sometime next year. We met at the Ice Rink when I accidentally skated into him. I enjoy skating but unfortunately I am not able to visit the Ice rink very often.In the evenings I usually sew or knit I make most of my own clothes and enjoy doing it.  "
